   alpha    CL        CD       CDp       CM      Cpmin   XCpmin   Top_Xtr  Bot_Xtr
-10.000  -0.6209   0.01309   0.00749  -0.1063  -4.2637   0.0098   0.8922   0.0511
  -9.000  -0.5175   0.01195   0.00620  -0.1049  -3.7074   0.0120   0.8651   0.0575
  -8.000  -0.4110   0.01101   0.00519  -0.1040  -3.1848   0.0120   0.8351   0.0659
  -7.000  -0.3024   0.01029   0.00435  -0.1032  -2.7034   0.0144   0.8028   0.0766
  -6.000  -0.1932   0.00972   0.00366  -0.1025  -2.2601   0.0170   0.7666   0.0908
  -5.000  -0.0838   0.00923   0.00311  -0.1018  -1.8608   0.0199   0.7272   0.1106
  -4.000   0.0258   0.00886   0.00271  -0.1011  -1.5030   0.0229   0.6857   0.1378
  -3.000   0.1354   0.00863   0.00243  -0.1004  -1.1872   0.0297   0.6430   0.1731
  -2.000   0.2446   0.00849   0.00229  -0.0997  -0.9139   0.0334   0.6011   0.2191
  -1.000   0.3536   0.00841   0.00225  -0.0989  -0.9016   0.2644   0.5628   0.2791
   1.000   0.5682   0.00802   0.00247  -0.0972  -1.0907   0.2331   0.5030   0.5579
   2.000   0.6730   0.00788   0.00278  -0.0957  -1.1945   0.2180   0.4803   0.7414
   3.000   0.7719   0.00791   0.00322  -0.0925  -1.3043   0.1890   0.4605   0.9138
   4.000   0.8990   0.00844   0.00372  -0.0955  -1.4446   0.1620   0.4404   0.9913
   5.000   1.0225   0.00901   0.00417  -0.0985  -1.5994   0.1374   0.4196   1.0000
   6.000   1.1067   0.00949   0.00459  -0.0931  -1.7433   0.1055   0.3995   1.0000
   7.000   1.1938   0.01009   0.00515  -0.0885  -1.9187   0.0723   0.3762   1.0000
   8.000   1.2788   0.01106   0.00602  -0.0841  -2.1370   0.0432   0.3471   1.0000
   9.000   1.3614   0.01229   0.00715  -0.0797  -2.4024   0.0271   0.3152   1.0000
  10.000   1.4366   0.01396   0.00871  -0.0746  -2.7018   0.0208   0.2804   1.0000
  11.000   1.5040   0.01615   0.01080  -0.0691  -3.0234   0.0154   0.2441   1.0000
  12.000   1.5574   0.01930   0.01383  -0.0626  -3.3497   0.0131   0.2057   1.0000
  13.000   1.5991   0.02352   0.01796  -0.0560  -3.6748   0.0110   0.1703   1.0000
  14.000   1.6255   0.02939   0.02376  -0.0496  -3.9835   0.0090   0.1389   1.0000
  15.000   1.6413   0.03696   0.03135  -0.0444  -4.2770   0.0073   0.1141   1.0000
