   alpha    CL        CD       CDp       CM      Cpmin   XCpmin   Top_Xtr  Bot_Xtr
  -5.000   0.0879   0.00674   0.00175  -0.1268  -4.0756   0.0045   0.4091   0.0139
  -4.000   0.2029   0.00661   0.00151  -0.1272  -3.1571   0.0045   0.3727   0.0163
  -3.000   0.3185   0.00651   0.00134  -0.1277  -2.3621   0.0063   0.3506   0.0196
  -2.000   0.4344   0.00640   0.00121  -0.1283  -1.6709   0.0063   0.3387   0.0259
  -1.000   0.5505   0.00633   0.00116  -0.1291  -1.0980   0.0084   0.3293   0.0349
   0.000   0.6663   0.00630   0.00116  -0.1299  -1.1629   0.2428   0.3244   0.0502
   1.000   0.7815   0.00633   0.00123  -0.1306  -1.2787   0.2290   0.3160   0.0731
   2.000   0.8970   0.00633   0.00133  -0.1315  -1.3987   0.2154   0.3139   0.1123
   3.000   1.0119   0.00635   0.00148  -0.1324  -1.5251   0.2154   0.3114   0.1732
   4.000   1.1251   0.00600   0.00181  -0.1335  -1.6544   0.2018   0.3042   0.6054
   5.000   1.2347   0.00557   0.00214  -0.1337  -1.7878   0.1884   0.2989   1.0000
   6.000   1.3472   0.00583   0.00238  -0.1344  -1.9307   0.1884   0.2940   1.0000
   7.000   1.4529   0.00651   0.00286  -0.1341  -2.0761   0.1620   0.2587   1.0000
   9.000   1.6312   0.00980   0.00527  -0.1280  -2.7481   0.0031   0.1089   1.0000
  10.000   1.7049   0.01202   0.00707  -0.1224  -3.3467   0.0012   0.0414   1.0000
  11.000   1.7743   0.01360   0.00853  -0.1159  -4.0167   0.0012   0.0226   1.0000
  12.000   1.8375   0.01537   0.01027  -0.1090  -4.7447   0.0006   0.0147   1.0000
  13.000   1.8941   0.01767   0.01258  -0.1021  -5.5072   0.0002   0.0103   1.0000
  14.000   1.9436   0.02069   0.01564  -0.0954  -6.3233   0.0002   0.0078   1.0000
  15.000   1.9832   0.02480   0.01983  -0.0890  -7.1259   0.0002   0.0065   1.0000
